mario	SUPER MARIO BROS.	/mnt/data/nes-deck/mario.nes	Press Start to begin; Mario's title and attract demo are silent.	#E74C3C	Proprietary; user-supplied, not redistributed
falling	FALLING	/mnt/data/nes-deck/roms/falling.nes	Survive a fast arcade challenge as the difficulty keeps rising.	#6C5CE7	MIT
thwaite	THWAITE	/mnt/data/nes-deck/roms/thwaite.nes	Defend your town from missiles with firework anti-ballistic missiles.	#F5A623	GPL-3.0-or-later
concentration-room	CONCENTRATION ROOM	/mnt/data/nes-deck/roms/croom.nes	Match cards, clear the toxin, and face CPU or human rivals.	#00A8A8	GPL-3.0-or-later; exact-ROM copy exception
robotfindskitten	ROBOTFINDSKITTEN	/mnt/data/nes-deck/roms/robotfindskitten.nes	Guide robot through non-kittens until robot finds kitten.	#62C370	zlib License
